"","Date","Flow_cfs","TP_mgL"
"1",2001-01-09 18:00:00,554,0.1
"2",2001-02-13 18:00:00,1420,0.42
"3",2001-02-14 18:00:00,6280,0.4
"4",2001-02-16 18:00:00,2640,0.15
"5",2001-03-13 18:00:00,709,0.17
"6",2001-05-22 19:00:00,755,0.07
"7",2001-07-24 19:00:00,152,0.39
"8",2001-08-22 19:00:00,122,0.38
"9",2001-10-10 19:00:00,2220,0.62
"10",2001-10-22 19:00:00,249,0.19
"11",2001-12-02 18:00:00,490,0.24
"12",2001-12-16 18:00:00,17000,0.44
"13",2002-01-30 18:00:00,1710,0.62
"14",2002-01-30 18:00:00,3310,0.4
"15",2002-01-31 18:00:00,3580,0.35
"16",2002-02-27 18:00:00,428,0.24
"17",2002-03-18 18:00:00,2500,0.25
"18",2002-03-19 18:00:00,8450,0.39
"19",2002-03-20 18:00:00,3020,0.18
"20",2002-04-08 19:00:00,4580,0.23
"21",2002-05-08 19:00:00,415,0.32
"22",2002-05-16 19:00:00,961,0.31
"23",2002-07-10 19:00:00,197,0.4
"24",2002-08-28 19:00:00,229,0.37
"25",2002-10-21 19:00:00,151,0.56
"26",2003-01-08 18:00:00,319,0.24
"27",2003-03-04 18:00:00,501,0.15
"28",2003-04-28 19:00:00,217,0.16
"29",2003-05-13 19:00:00,1380,0.31
"30",2003-05-14 19:00:00,2550,0.64
"31",2003-05-14 19:00:00,1190,0.29
"32",2003-07-01 19:00:00,203,0.14
"33",2003-08-26 19:00:00,124,0.2
"34",2003-11-04 18:00:00,130,0.11
"35",2004-01-11 18:00:00,168,0.05
"36",2004-03-01 18:00:00,232,0.06
"37",2004-05-09 19:00:00,532,0.07
"38",2004-07-19 19:00:00,356,0.11
"39",2004-08-31 19:00:00,175,0.12
"40",2004-11-08 18:00:00,397,0.1
"41",2005-01-18 18:00:00,1060,0.09
"42",2005-03-09 18:00:00,448,0.03
"43",2005-04-27 19:00:00,409,0.04
"44",2005-06-21 19:00:00,204,0.1
"45",2005-08-30 19:00:00,107,0.14
"46",2005-10-25 19:00:00,100,0.11
"47",2005-12-12 18:00:00,108,0.15
"48",2006-03-06 18:00:00,106,0.08
"49",2006-05-02 19:00:00,309,0.14
"50",2006-05-04 19:00:00,3660,0.48
"51",2006-06-21 19:00:00,67,0.13
"52",2006-08-15 19:00:00,54,0.15
"53",2006-08-22 19:00:00,1670,0.54
"54",2006-10-03 19:00:00,221,0.22
"55",2007-01-16 18:00:00,1490,0.13
"56",2007-02-12 18:00:00,3770,0.34
"57",2007-03-06 18:00:00,338,0.04
"58",2007-04-09 19:00:00,202,0.06
"59",2007-04-24 19:00:00,1120,0.16
"60",2007-07-17 19:00:00,345,0.1
"61",2007-08-29 19:00:00,177,0.12
"62",2007-10-21 19:00:00,227,0.09
"63",2007-12-11 18:00:00,759,0.13
"64",2008-03-12 19:00:00,669,0.08
"65",2008-04-22 19:00:00,2620,0.2
"66",2008-06-17 19:00:00,734,0.1
"67",2008-08-24 19:00:00,441,0.12
"68",2008-11-05 18:00:00,523,0.08
"69",2009-03-23 19:00:00,780,0.07
"70",2009-05-20 19:00:00,987,0.09
"71",2009-06-25 19:00:00,385,0.09
"72",2009-08-24 19:00:00,201,0.1
"73",2009-11-16 18:00:00,711,0.05
